node_id,tensor_id,injections,critical_failures,critical_probability,ci_low,ci_high,mean_severity,activation_bytes,exposure_ratio,risk
115,318,2,1,0.5,0.09452865480086614,0.9054713451991339,0.5000052081480385,204800,0.0015163181898951608,0.45015293385599914
44,240,2,1,0.5,0.09452865480086614,0.9054713451991339,0.5000001299366439,204800,0.0015163181898951608,0.4501516643031505
157,362,2,1,0.5,0.09452865480086614,0.9054713451991339,0.5,24000,0.00017769353787833915,0.45001776935378784
82,283,9,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,0.3333333333333333,819200,0.006065272759580643,0.30060652727595805
36,232,3,1,0.3333333333333333,0.0614903152761605,0.7923450448735121,0.3333478171538646,204800,0.0015163181898951608,0.30015525277412236
55,254,3,1,0.3333333333333333,0.0614903152761605,0.7923450448735121,0.3333333333333333,204800,0.0015163181898951608,0.3001516318189895
114,315,3,1,0.3333333333333333,0.0614903152761605,0.7923450448735121,0.3333333333333333,204800,0.0015163181898951608,0.3001516318189895
27,222,4,1,0.25,0.045586062644636216,0.6993639475573634,0.25000006829496335,409600,0.0030326363797903216,0.22530328071171987
62,261,5,1,0.2,0.03622316096978745,0.6244717358814613,0.20000017971201825,204800,0.0015163181898951608,0.1801516767469941
99,300,11,2,0.18181818181818182,0.05136660067100063,0.4769861375782448,0.18181818181818182,512000,0.003790795474737902,0.16401544318383743
46,242,11,2,0.18181818181818182,0.05136660067100063,0.4769861375782448,0.18181935230034163,409600,0.0030326363797903216,0.16393991989488263
32,227,26,3,0.11538461538461539,0.04003171821149494,0.28976293086898336,0.11538596736939842,1638400,0.012130545519161286,0.10505954639426575
3,195,19,2,0.10526315789473684,0.029357941395096593,0.313945504948417,0.10526359242790279,1638400,0.012130545519161286,0.09595000529047078
19,213,30,3,0.1,0.034599259959716175,0.2562144131526662,0.10000502975833322,1638400,0.012130545519161286,0.09121431199149944
151,354,8,1,0.125,0.02241690886329617,0.4708948057698615,0.010416666666666666,806400,0.005970502872712196,0.0844512169539379
58,257,11,1,0.09090909090909091,0.016231752262826,0.37736462548620375,0.09090932592218168,1280000,0.009476988686844755,0.08276593944013899
7,200,69,5,0.07246376811594203,0.03134730921766905,0.15867597418082852,0.07246558339827136,4915200,0.03639163655748386,0.06885700878067855
9,202,30,2,0.06666666666666667,0.018476635327693364,0.2132381772107209,0.0666700661727893,1638400,0.012130545519161286,0.06121390442844679
78,278,79,5,0.06329113924050633,0.027334461814729392,0.13975067415560433,0.06329123255413055,4915200,0.03639163655748386,0.06060121230061014
0,192,82,5,0.06097560975609756,0.02632356690332186,0.13492226262455276,0.060980375804268114,6553600,0.048522182076645146,0.059731458500194956
17,211,12,1,0.08333333333333333,0.014864709450773478,0.35388592179859524,0.017551783717419858,819200,0.006065272759580643,0.0591611398719797
76,276,16,1,0.0625,0.01111905730833121,0.2832926836802987,0.06252308206386246,819200,0.006065272759580643,0.05686229779192368
83,284,38,2,0.05263157894736842,0.014553902448536798,0.17285766881068843,0.039474267041633586,2457600,0.01819581827874193,0.04589867490407207
4,197,21,1,0.047619047619047616,0.008455769471923294,0.22669816586235464,0.04761947249054004,1638400,0.012130545519161286,0.044070303626932095
79,279,22,1,0.045454545454545456,0.008069219301147859,0.21798489499518053,0.045455193753012546,1638400,0.012130545519161286,0.042122307535623814
6,199,23,1,0.043478260869565216,0.007716466962126758,0.2099158649405914,0.043483554947076765,1638400,0.012130545519161286,0.04034481285390271
90,291,25,1,0.04,0.007096050386699165,0.19544472405022525,0.04,1638400,0.012130545519161286,0.03721305455191613
84,285,24,1,0.041666666666666664,0.007393265354805112,0.20242226248842232,0.019444780909836888,1638400,0.012130545519161286,0.03315758311270869
10,203,32,1,0.03125,0.005537717362550945,0.15744607800372734,0.0312526630780359,1638400,0.012130545519161286,0.029338720321425104
8,201,39,1,0.02564102564102564,0.00454058606523737,0.13181286478627147,0.025642424149870065,3276800,0.024261091038322573,0.025503381807966442
18,212,50,1,0.02,0.0035391680889764604,0.10495686471836953,0.020011077519790747,3276800,0.024261091038322573,0.020428878483779944
77,277,50,1,0.02,0.0035391680889764604,0.10495686471836953,0.020000617367446797,3276800,0.024261091038322573,0.020426263445693957
20,214,51,1,0.0196078431372549,0.003469603253442241,0.10304807675589372,0.01961001663480137,3276800,0.024261091038322573,0.020073711301748287
2,194,60,0,0.0,0.0,0.06017393047793289,0.00011573844336754809,3276800,0.024261091038322573,0.0024550437146741446
1,193,50,0,0.0,0.0,0.07135003417431873,1.4516580911910198e-06,3276800,0.024261091038322573,0.002426472018355055
70,269,32,0,0.0,0.0,0.1071827150573635,1.5279539568846983e-06,2457600,0.01819581827874193,0.0018199638163634143
133,335,32,0,0.0,0.0,0.1071827150573635,0.0,2150400,0.015921340993899188,0.0015921340993899189
135,337,36,0,0.0,0.0,0.09642183044857634,0.0,2150400,0.015921340993899188,0.0015921340993899189
136,338,35,0,0.0,0.0,0.09890426758938868,0.0,2150400,0.015921340993899188,0.0015921340993899189
137,340,34,0,0.0,0.0,0.10151790621961015,0.0,2150400,0.015921340993899188,0.0015921340993899189
30,225,25,0,0.0,0.0,0.13319649395317873,1.4038937926278496e-06,1638400,0.012130545519161286,0.0012134055253642858
69,268,23,0,0.0,0.0,0.14312112541726274,1.142615493183449e-06,1638400,0.012130545519161286,0.0012133402057894246
5,198,20,0,0.0,0.0,0.1611301254949332,7.45603325570192e-07,1638400,0.012130545519161286,0.0012132409527475213
86,287,28,0,0.0,0.0,0.12064720365810762,0.0,1638400,0.012130545519161286,0.0012130545519161288
87,288,27,0,0.0,0.0,0.12455903714463581,0.0,1638400,0.012130545519161286,0.0012130545519161288
89,290,26,0,0.0,0.0,0.12873304380462175,0.0,1638400,0.012130545519161286,0.0012130545519161288
92,293,29,0,0.0,0.0,0.11697359446555587,0.0,1638400,0.012130545519161286,0.0012130545519161288
93,297,25,0,0.0,0.0,0.13319649395317873,0.0,1638400,0.012130545519161286,0.0012130545519161288
95,296,29,0,0.0,0.0,0.11697359446555587,0.0,1638400,0.012130545519161286,0.0012130545519161288
97,299,25,0,0.0,0.0,0.13319649395317873,0.0,1638400,0.012130545519161286,0.0012130545519161288
56,255,18,0,0.0,0.0,0.1758845505823749,7.353901619439669e-06,1280000,0.009476988686844755,0.0009495373440893354
54,253,21,0,0.0,0.0,0.15464382326420195,1.5811801218035255e-06,1280000,0.009476988686844755,0.0009480941637149264
57,256,18,0,0.0,0.0,0.1758845505823749,3.220871627821838e-08,1280000,0.009476988686844755,0.0009477069208635451
88,289,21,0,0.0,0.0,0.15464382326420195,8.853871692959523e-06,1228800,0.009097909139370966,0.0009120043818603365
101,303,16,0,0.0,0.0,0.19361341827271994,2.9647849292963047e-07,1228800,0.009097909139370966,0.000909865033560329
75,275,15,0,0.0,0.0,0.20388926630434784,6.428732105915695e-08,1228800,0.009097909139370966,0.0009098069857673614
31,226,17,0,0.0,0.0,0.18432366037156456,7.688383658740118e-06,819200,0.006065272759580643,0.0006084493718727494
13,207,6,0,0.0,0.0,0.3903430336530645,3.585120445575204e-06,819200,0.006065272759580643,0.0006074235560694582
22,216,11,0,0.0,2.7755575615628914e-17,0.2588400172488141,3.466985215751837e-06,819200,0.006065272759580643,0.0006073940222620024
71,270,7,0,0.0,0.0,0.35433884297520657,3.4360536114964693e-06,819200,0.006065272759580643,0.0006073862893609385
21,215,6,0,0.0,0.0,0.3903430336530645,2.917071369591001e-06,819200,0.006065272759580643,0.0006072565438004622
11,204,20,0,0.0,0.0,0.1611301254949332,2.007322128039211e-06,819200,0.006065272759580643,0.0006070291064900742
91,292,10,0,0.0,0.0,0.2775401687666165,1.7026611678658573e-06,819200,0.006065272759580643,0.0006069529412500308
45,241,4,0,0.0,0.0,0.48990002040399916,1.6626135021911385e-06,819200,0.006065272759580643,0.0006069429293336122
12,206,10,0,0.0,0.0,0.2775401687666165,1.5484306369915152e-06,819200,0.006065272759580643,0.0006069143836173122
103,305,10,0,0.0,0.0,0.2775401687666165,8.875983922229657e-07,819200,0.006065272759580643,0.0006067491755561202
14,208,10,0,0.0,0.0,0.2775401687666165,7.529104219222705e-07,819200,0.006065272759580643,0.000606715503563545
15,209,13,0,0.0,0.0,0.22810184305529166,7.037529289907028e-07,819200,0.006065272759580643,0.0006067032141903121
16,210,6,0,0.0,0.0,0.3903430336530645,2.546482067026605e-07,819200,0.006065272759580643,0.00060659093800974
81,282,11,0,0.0,2.7755575615628914e-17,0.2588400172488141,1.4912121837155322e-07,819200,0.006065272759580643,0.0006065645562626572
80,280,18,0,0.0,0.0,0.1758845505823749,4.59665494448622e-08,819200,0.006065272759580643,0.0006065387675954256
102,304,12,0,0.0,0.0,0.2425007574992425,1.846558552361562e-08,819200,0.006065272759580643,0.0006065318923544453
105,307,14,0,0.0,0.0,0.21531701192718142,0.0,819200,0.006065272759580643,0.0006065272759580644
150,353,12,0,0.0,0.0,0.2425007574992425,0.0,806400,0.005970502872712196,0.0005970502872712196
142,345,6,0,0.0,0.0,0.3903430336530645,0.0,672000,0.004975419060593496,0.0004975419060593496
145,348,10,0,0.0,0.0,0.2775401687666165,0.0,672000,0.004975419060593496,0.0004975419060593496
39,235,11,0,0.0,2.7755575615628914e-17,0.2588400172488141,5.098627232728567e-06,614400,0.004548954569685483,0.00045617011377673043
109,309,9,0,0.0,0.0,0.2991527535509594,2.2403208794269998e-09,614400,0.004548954569685483,0.00045489601704876815
124,327,11,0,0.0,2.7755575615628914e-17,0.2588400172488141,0.0,614400,0.004548954569685483,0.0004548954569685483
100,302,5,0,0.0,0.0,0.43449149475208104,0.0,512000,0.003790795474737902,0.00037907954747379025
24,219,8,0,0.0,0.0,0.3244156195108769,4.389091366496951e-05,409600,0.0030326363797903216,0.00031423636639527454
28,223,1,0,0.0,0.0,0.7934567085261071,8.77870952184011e-06,409600,0.0030326363797903216,0.0003054583153594922
47,243,6,0,0.0,0.0,0.3903430336530645,8.052677430401032e-06,409600,0.0030326363797903216,0.00030527680733663244
29,224,8,0,0.0,0.0,0.3244156195108769,5.660227568762238e-06,409600,0.0030326363797903216,0.00030467869487122275
94,294,5,0,0.0,0.0,0.43449149475208104,2.1803063175858855e-06,409600,0.0030326363797903216,0.0003038087145584287
117,322,12,0,0.0,0.0,0.2425007574992425,1.8550126603961774e-06,409600,0.0030326363797903216,0.00030372739114413125
23,217,4,0,0.0,0.0,0.48990002040399916,1.7966291769477837e-06,409600,0.0030326363797903216,0.00030371279527326915
34,229,6,0,0.0,0.0,0.3903430336530645,1.4938431703001591e-06,409600,0.0030326363797903216,0.0003036370987716072
68,267,4,0,0.0,0.0,0.48990002040399916,1.4437145420304848e-06,409600,0.0030326363797903216,0.0003036245666145398
25,220,10,0,0.0,0.0,0.2775401687666165,1.3161160776607265e-06,409600,0.0030326363797903216,0.00030359266699844735
49,246,5,0,0.0,0.0,0.43449149475208104,5.970640787857283e-07,409600,0.0030326363797903216,0.0003034129039987286
73,273,7,0,0.0,0.0,0.35433884297520657,4.945746236479602e-07,409600,0.0030326363797903216,0.00030338728163494417
26,221,11,0,0.0,2.7755575615628914e-17,0.2588400172488141,4.909984822531441e-07,409600,0.0030326363797903216,0.0003033863875995955
