node_id,tensor_id,injections,critical_failures,critical_probability,ci_low,ci_high,mean_severity,activation_bytes,exposure_ratio,risk
44,240,16,6,0.375,0.18480982554752806,0.613593529020652,0.37500349859110316,204800,0.001513431706394249,0.3376522178184152
157,362,16,4,0.25,0.10181901984237346,0.49498768929398645,0.25,24000,0.00017735527809307605,0.22501773552780932
18,212,16,3,0.1875,0.06591478773586765,0.4300935986845823,0.1875150227675461,3276800,0.024214907302307985,0.17117524642211734
167,373,16,3,0.1875,0.06591478773586765,0.4300935986845823,0.1875,4800,3.547105561861521e-05,0.16875354710556187
138,341,16,3,0.1875,0.06591478773586765,0.4300935986845823,0.08700980392156862,32000,0.0002364737041241014,0.14365109835080458
4,197,16,2,0.125,0.034976749337057134,0.3602333143674828,0.12500171705531077,1638400,0.012107453651153992,0.11371117462894309
58,257,16,2,0.125,0.034976749337057134,0.3602333143674828,0.12500037329565328,1280000,0.009458948164964056,0.11344598814040972
102,304,16,2,0.125,0.034976749337057134,0.3602333143674828,0.12500001360930674,819200,0.006053726825576996,0.11310537608488438
25,220,16,2,0.125,0.034976749337057134,0.3602333143674828,0.1250012800354802,409600,0.003026863412788498,0.11280300635014891
42,238,16,2,0.125,0.034976749337057134,0.3602333143674828,0.12544815262003417,204800,0.001513431706394249,0.11276338132564798
43,239,16,2,0.125,0.034976749337057134,0.3602333143674828,0.12501639765766956,204800,0.001513431706394249,0.11265544258505682
66,265,16,2,0.125,0.034976749337057134,0.3602333143674828,0.1250043847170325,204800,0.001513431706394249,0.11265243934989756
156,361,16,2,0.125,0.034976749337057134,0.3602333143674828,0.125,1200,8.867763904653802e-06,0.11250088677639047
165,371,16,2,0.125,0.034976749337057134,0.3602333143674828,0.125,1200,8.867763904653802e-06,0.11250088677639047
116,319,16,2,0.125,0.034976749337057134,0.3602333143674828,0.11079545454545454,409600,0.003026863412788498,0.10925154997764248
94,294,16,2,0.125,0.034976749337057134,0.3602333143674828,0.10937513341504373,409600,0.003026863412788498,0.10889646969503979
142,345,16,2,0.125,0.034976749337057134,0.3602333143674828,0.075,672000,0.004965947786606129,0.10049659477866062
98,301,16,2,0.125,0.034976749337057134,0.3602333143674828,0.06338037308126201,409600,0.003026863412788498,0.09739777961159436
2,194,16,1,0.0625,0.01111905730833121,0.2832926836802987,0.06282850897156908,3276800,0.024214907302307985,0.05875361797312307
1,193,16,1,0.0625,0.01111905730833121,0.2832926836802987,0.06250270354323531,3276800,0.024214907302307985,0.05867216661603963
8,201,16,1,0.0625,0.01111905730833121,0.2832926836802987,0.06250124608690409,3276800,0.024214907302307985,0.05867180225195682
69,268,16,1,0.0625,0.01111905730833121,0.2832926836802987,0.06250016173879443,1638400,0.012107453651153992,0.057460785799814014
87,288,16,1,0.0625,0.01111905730833121,0.2832926836802987,0.0625,1638400,0.012107453651153992,0.057460745365115404
12,206,16,1,0.0625,0.01111905730833121,0.2832926836802987,0.06250614998303985,819200,0.006053726825576996,0.05685691017831766
17,211,16,1,0.0625,0.01111905730833121,0.2832926836802987,0.06250379436124522,819200,0.006053726825576996,0.056856321272869007
21,215,16,1,0.0625,0.01111905730833121,0.2832926836802987,0.06250081857292833,819200,0.006053726825576996,0.05685557732578978
82,283,16,1,0.0625,0.01111905730833121,0.2832926836802987,0.06250016413608743,819200,0.006053726825576996,0.05685541371657955
80,280,16,1,0.0625,0.01111905730833121,0.2832926836802987,0.06250008814675667,819200,0.006053726825576996,0.05685539471924687
33,228,16,1,0.0625,0.01111905730833121,0.2832926836802987,0.06250807284645789,409600,0.003026863412788498,0.056554704552893326
46,242,16,1,0.0625,0.01111905730833121,0.2832926836802987,0.0625033759097933,409600,0.003026863412788498,0.056553530318727174
47,243,16,1,0.0625,0.01111905730833121,0.2832926836802987,0.06250114973292753,409600,0.003026863412788498,0.05655297377451073
96,298,16,1,0.0625,0.01111905730833121,0.2832926836802987,0.0625003688338793,409600,0.003026863412788498,0.056552778549748675
67,266,16,1,0.0625,0.01111905730833121,0.2832926836802987,0.06250022940564168,409600,0.003026863412788498,0.05655274369268927
64,263,16,1,0.0625,0.01111905730833121,0.2832926836802987,0.0625000658165732,409600,0.003026863412788498,0.056552702795422155
85,286,16,1,0.0625,0.01111905730833121,0.2832926836802987,0.06250005007088674,409600,0.003026863412788498,0.056552698859000536
