latency_budget_ms,peak_memory_budget_bytes,method,selected_count,risk_reduction,risk_reduction_std,residual_failure_probability,mitigation_ratio,used_latency_ms,used_peak_extra_memory_bytes
1.0,0,ilp,2,0.004263297407808161,0.0,0.023552186067943796,0.15327065630639403,0.9921096258715637,0
1.0,0,greedy,5,0.0025345975187807067,0.0,0.02528088595697125,0.09112182144848327,0.9713407556191288,0
1.0,0,topk_dmr_compare_rerun,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
1.0,0,topk_range_guard_rerun,2,0.004263297407808161,0.0,0.023552186067943796,0.15327065630639403,0.9921096258715637,0
1.0,0,random_dmr_mean,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
2.0,0,ilp,4,0.0071572684494184404,0.0,0.020658215026333516,0.2573123870256565,1.973150541062444,0
2.0,0,greedy,7,0.006673248034166873,0.0,0.021142235441585083,0.23991127243875707,1.9229502487108339,0
2.0,0,topk_dmr_compare_rerun,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
2.0,0,topk_range_guard_rerun,4,0.0071572684494184404,0.0,0.020658215026333516,0.2573123870256565,1.973150541062444,0
2.0,0,random_dmr_mean,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
5.0,0,ilp,13,0.011167129886436289,0.0,0.01664835358931567,0.40147171614583627,4.991533909505106,0
5.0,0,greedy,13,0.011167129886436289,0.0,0.01664835358931567,0.40147171614583627,4.991533909505106,0
5.0,0,topk_dmr_compare_rerun,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
5.0,0,topk_range_guard_rerun,9,0.01061604780510906,0.0,0.017199435670642898,0.38165965421250214,4.999132346528571,0
5.0,0,random_dmr_mean,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
10.0,0,ilp,20,0.013594039063840536,0.0,0.014221444411911421,0.4887220125327352,7.862372149717202,0
10.0,0,greedy,20,0.013594039063840536,0.0,0.014221444411911421,0.4887220125327352,7.862372149717203,0
10.0,0,topk_dmr_compare_rerun,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
10.0,0,topk_range_guard_rerun,20,0.013594039063840536,0.0,0.014221444411911421,0.4887220125327352,7.862372149717202,0
10.0,0,random_dmr_mean,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
20.0,0,ilp,20,0.013594039063840536,0.0,0.014221444411911421,0.4887220125327352,7.862372149717202,0
20.0,0,greedy,20,0.013594039063840536,0.0,0.014221444411911421,0.4887220125327352,7.862372149717203,0
20.0,0,topk_dmr_compare_rerun,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
20.0,0,topk_range_guard_rerun,20,0.013594039063840536,0.0,0.014221444411911421,0.4887220125327352,7.862372149717202,0
20.0,0,random_dmr_mean,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
40.0,0,ilp,20,0.013594039063840536,0.0,0.014221444411911421,0.4887220125327352,7.862372149717202,0
40.0,0,greedy,20,0.013594039063840536,0.0,0.014221444411911421,0.4887220125327352,7.862372149717203,0
40.0,0,topk_dmr_compare_rerun,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
40.0,0,topk_range_guard_rerun,20,0.013594039063840536,0.0,0.014221444411911421,0.4887220125327352,7.862372149717202,0
40.0,0,random_dmr_mean,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
1.0,1048576,ilp,2,0.004263297407808161,0.0,0.023552186067943796,0.15327065630639403,0.9921096258715637,0
1.0,1048576,greedy,6,0.0025346125488221525,0.0,0.025280870926929804,0.09112236179650415,0.9905194306191288,80
1.0,1048576,topk_dmr_compare_rerun,4,0.00015084450195673043,0.0,0.027664638973795227,0.005423040807046499,0.299167927,802816
1.0,1048576,topk_range_guard_rerun,2,0.004263297407808161,0.0,0.023552186067943796,0.15327065630639403,0.9921096258715637,0
1.0,1048576,random_dmr_mean,4,9.352359121317287e-05,7.321787639878151e-05,0.027721959884538783,0.0033622853003688288,0.299167927,802816
2.0,1048576,ilp,4,0.007155237283300014,0.0,0.020660246192451943,0.2572393641669959,1.9528314911715072,802816
2.0,1048576,greedy,8,0.006721493358686875,0.0,0.021093990117065083,0.241645749733105,1.9932812828198971,802816
2.0,1048576,topk_dmr_compare_rerun,5,0.00035195046451044407,0.0,0.027463533011241513,0.012653041419080692,1.673957011,802816
2.0,1048576,topk_range_guard_rerun,4,0.0071572684494184404,0.0,0.020658215026333516,0.2573123870256565,1.973150541062444,0
2.0,1048576,random_dmr_mean,5,0.00018968173827118618,9.193950632174374e-05,0.02762580173748077,0.0068192860439237205,1.561695602,802816
5.0,1048576,ilp,13,0.011167129886436289,0.0,0.01664835358931567,0.40147171614583627,4.9989510242864545,0
5.0,1048576,greedy,16,0.011061498989863364,0.0,0.016753984485888593,0.3976741586931676,4.985284417494284,802816
5.0,1048576,topk_dmr_compare_rerun,6,0.000703885898979443,0.0,0.027111597576772513,0.025305542490140533,4.450000095,802816
5.0,1048576,topk_range_guard_rerun,9,0.01061604780510906,0.0,0.017199435670642898,0.38165965421250214,4.999132346528571,0
