node_id,tensor_id,injections,critical_failures,critical_probability,ci_low,ci_high,mean_severity,activation_bytes,exposure_ratio,risk
36,232,1,1,1.0,0.20654329147389294,1.0,1.0,204800,0.0015438985851616873,0.9001543898585161
115,318,1,1,1.0,0.20654329147389294,1.0,1.0,204800,0.0015438985851616873,0.9001543898585161
27,222,2,1,0.5,0.09452865480086614,0.9054713451991339,0.5000000248522608,409600,0.0030877971703233745,0.4503087859300976
59,258,2,1,0.5,0.09452865480086614,0.9054713451991339,0.5000002462090538,204800,0.0015438985851616873,0.45015445141077964
114,315,2,1,0.5,0.09452865480086614,0.9054713451991339,0.5,204800,0.0015438985851616873,0.4501543898585162
82,283,5,2,0.4,0.1176182311592533,0.769280067791163,0.4,819200,0.006175594340646749,0.36061755943406465
17,211,3,1,0.3333333333333333,0.0614903152761605,0.7923450448735121,0.3333343197094769,819200,0.006175594340646749,0.30061780602810056
46,242,6,2,0.3333333333333333,0.09676933255921683,0.7000116786584712,0.3333336155926574,409600,0.0030877971703233745,0.3003088502818634
151,354,4,1,0.25,0.045586062644636216,0.6993639475573634,0.25,806400,0.006079100679074144,0.22560791006790742
99,300,7,2,0.2857142857142857,0.0822171657090155,0.6410709098517873,0.15476190476190474,512000,0.003859746462904218,0.22479073655105233
32,227,12,2,0.16666666666666666,0.04696414761482223,0.44803635738467273,0.16666740521357856,1638400,0.012351188681293498,0.15123530350485734
145,348,5,1,0.2,0.03622316096978745,0.6244717358814613,0.04,672000,0.005065917232561786,0.1405065917232562
6,199,8,1,0.125,0.02241690886329617,0.4708948057698615,0.1250100282222408,1638400,0.012351188681293498,0.11373762592368955
93,297,16,2,0.125,0.034976749337057134,0.3602333143674828,0.125,1638400,0.012351188681293498,0.11373511886812936
124,327,8,1,0.125,0.02241690886329617,0.4708948057698615,0.125,614400,0.004631695755485062,0.11296316957554851
8,201,19,2,0.10526315789473684,0.029357941395096593,0.313945504948417,0.1052635494040661,3276800,0.024702377362586996,0.09720717771885418
4,197,12,1,0.08333333333333333,0.014864709450773478,0.35388592179859524,0.08338889327375874,1638400,0.012351188681293498,0.07624900885323571
84,285,13,1,0.07692307692307693,0.013710066379696295,0.3331453392824736,0.07693429011768399,1638400,0.012351188681293498,0.07046869139755035
10,203,14,1,0.07142857142857142,0.012721886112291636,0.3146926955395781,0.07142956689732224,1638400,0.012351188681293498,0.06552108202103135
90,291,14,1,0.07142857142857142,0.012721886112291636,0.3146926955395781,0.07142857142857142,1638400,0.012351188681293498,0.06552083315384363
20,214,22,1,0.045454545454545456,0.008069219301147859,0.21798489499518053,0.045472570147873384,3276800,0.024702377362586996,0.0433838348186816
18,212,25,1,0.04,0.007096050386699165,0.19544472405022525,0.04001199777904949,3276800,0.024702377362586996,0.038473237181021074
7,200,32,1,0.03125,0.005537717362550945,0.15744607800372734,0.03125150245551673,4915200,0.03705356604388049,0.03183073221826723
2,194,34,1,0.029411764705882353,0.005210771925596644,0.14915902216344817,0.02946137936798616,3276800,0.024702377362586996,0.028953229637078772
0,192,40,1,0.025,0.0044267174077949195,0.1288165948800778,0.025015912325751778,6553600,0.04940475472517399,0.027444453553955344
78,278,48,1,0.020833333333333332,0.003687015979399688,0.10899469137531158,0.020835153279831337,4915200,0.03705356604388049,0.02245581159101255
1,193,17,0,0.0,0.0,0.18432366037156456,2.251115118830382e-05,3276800,0.024702377362586996,0.002475865524055776
77,277,27,0,0.0,0.0,0.12455903714463581,1.9278294240983235e-07,3276800,0.024702377362586996,0.0024702859319943025
83,284,19,0,0.0,0.0,0.16818436536845052,1.231750040433026e-06,2457600,0.018526783021940246,0.001852986239704133
70,269,23,0,0.0,0.0,0.14312112541726274,2.4478702645048847e-08,2457600,0.018526783021940246,0.001852684421869686
133,335,21,0,0.0,0.0,0.15464382326420195,0.0,2150400,0.016210935144197716,0.0016210935144197716
135,337,19,0,0.0,0.0,0.16818436536845052,0.0,2150400,0.016210935144197716,0.0016210935144197716
136,338,18,0,0.0,0.0,0.1758845505823749,0.0,2150400,0.016210935144197716,0.0016210935144197716
137,340,19,0,0.0,0.0,0.16818436536845052,0.0,2150400,0.016210935144197716,0.0016210935144197716
5,198,10,0,0.0,0.0,0.2775401687666165,7.517585571259611e-06,1638400,0.012351188681293498,0.0012369982645221648
19,213,14,0,0.0,0.0,0.21531701192718142,7.462647427969796e-06,1638400,0.012351188681293498,0.0012369845299863424
