model,experiment,events,unprotected_critical_failures,protected_method,protected_critical_failures,critical_failure_reduction,critical_failure_reduction_ratio,seeds,notes
resnet50_eurosat,formal_multi_seed_runtime_faults,30000,555,multi_mode_ilp_range_guard_dmr,155,400,0.7207207207207207,"2026,2027,2028","Three real 10000-event runs, not bootstrap substitution."
yolov10n_dior_full_e30_b16,formal_activation_prior_runtime_faults,10000,287,ilp_dmr_runtime_calibrated,240,47,0.16376306620209058,2026,Same seed and candidate sampling; activation-prior 10000 events.
yolov10n_dior_full_e30_b16,formal_task_output_guard,10000,287,task_output_guard_rerun,142,145,0.5052264808362369,replay 2026 baseline events,Final-output semantic validity checks with rerun recovery under single-transient-fault model.
