activation_prior_protected_critical_failures,activation_prior_reduction_ratio,activation_prior_unprotected_critical_failures,baseline_avg_ms,baseline_max_ms,baseline_p50_ms,baseline_p90_ms,baseline_p95_ms,baseline_p99_ms,baseline_spk_bytes,clean_false_alarm_rate,detected_faults,latency_overhead_ms,latency_overhead_ratio,memory_reduction_ratio,model,naive_activation_bytes,observed_reduction_ratio,plan_json_bytes,planned_activation_bytes,protected_avg_ms,protected_critical_failures,protected_max_ms,protected_node_count,protected_p50_ms,protected_p90_ms,protected_p95_ms,protected_p99_ms,protected_spk_bytes,protection_modes,protection_scratch_bytes,recovered_faults,scratch_arena_bytes,stratified_protected_critical_failures,stratified_reduction_ratio,stratified_unprotected_critical_failures,unprotected_critical_failures,used_peak_extra_memory_bytes
,,,109.89118769975903,,,,,,94052792,0.00390625,323,19.534208955519716,0.17775955801743093,0.7903018267924696,resnet50_eurosat,67954736,0.75,4329,14249984,129.42539665527875,4,,30,,,,,94053668,"['dmr_compare_rerun', 'range_guard_rerun']",3211264,309,7375872,,,,16,3211264
43,0.23214285714285715,56,167.7848,173.7875,166.8963,171.7354,,,9342072,,,30.30970000000002,0.1806462802351585,0.9216282260841994,yolov10n_dior_full_e30_b16,146338400,,4555,11468800,198.0945,,204.7774,40,198.8332,202.2184,,,9343228,['dmr_compare_rerun'],3276800,,20070400,13,0.8311688311688312,77,,
