latency_budget_ms,peak_memory_budget_bytes,method,selected_count,risk_reduction,risk_reduction_std,residual_failure_probability,mitigation_ratio,used_latency_ms,used_peak_extra_memory_bytes
2.0,0,ilp,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
2.0,0,greedy,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
2.0,0,topk_dmr_compare_rerun,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
2.0,0,random_dmr_mean,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
4.0,0,ilp,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
4.0,0,greedy,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
4.0,0,topk_dmr_compare_rerun,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
4.0,0,random_dmr_mean,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
8.0,0,ilp,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
8.0,0,greedy,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
8.0,0,topk_dmr_compare_rerun,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
8.0,0,random_dmr_mean,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
16.0,0,ilp,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
16.0,0,greedy,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
16.0,0,topk_dmr_compare_rerun,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
16.0,0,random_dmr_mean,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
24.0,0,ilp,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
24.0,0,greedy,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
24.0,0,topk_dmr_compare_rerun,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
24.0,0,random_dmr_mean,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
32.0,0,ilp,0,0.0,0.0,0.024440665791713955,0.0,0.0,0
