latency_budget_ms,peak_memory_budget_bytes,method,selected_count,risk_reduction,risk_reduction_std,residual_failure_probability,mitigation_ratio,used_latency_ms,used_peak_extra_memory_bytes
1.0,0,ilp,4,0.002250279688080221,0.0,0.025565203787671735,0.0809002543508508,0.9856274482267956,0
1.0,0,greedy,4,0.0022502796880802204,0.0,0.025565203787671735,0.08090025435085078,0.9856274482267956,0
1.0,0,topk_dmr_compare_rerun,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
1.0,0,topk_range_guard_rerun,1,0.0018178483185382183,0.0,0.02599763515721374,0.0653538278463835,0.984773397372357,0
1.0,0,random_dmr_mean,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
2.0,0,ilp,5,0.0061616991636491095,0.0,0.021653784312102846,0.22152047686032664,1.9918491924293884,0
2.0,0,greedy,5,0.0061616991636491095,0.0,0.021653784312102846,0.22152047686032664,1.9918491924293884,0
2.0,0,topk_dmr_compare_rerun,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
2.0,0,topk_range_guard_rerun,4,0.005908055792281195,0.0,0.021907427683470763,0.212401693374538,1.992761332909781,0
2.0,0,random_dmr_mean,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
5.0,0,ilp,10,0.010062138876573536,0.0,0.01775334459917842,0.3617459637307821,4.995945381443495,0
5.0,0,greedy,12,0.010038704265088171,0.0,0.017776779210663785,0.3609034613343814,4.939472301444889,0
5.0,0,topk_dmr_compare_rerun,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
5.0,0,topk_range_guard_rerun,7,0.009367250469143946,0.0,0.01844823300660801,0.33676389185576483,4.991538660028796,0
5.0,0,random_dmr_mean,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
10.0,0,ilp,20,0.013594039063840536,0.0,0.014221444411911421,0.4887220125327352,9.918368652941522,0
10.0,0,greedy,20,0.013594039063840536,0.0,0.014221444411911421,0.4887220125327352,9.918368652941522,0
10.0,0,topk_dmr_compare_rerun,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
10.0,0,topk_range_guard_rerun,20,0.013594039063840536,0.0,0.014221444411911421,0.4887220125327352,9.918368652941524,0
10.0,0,random_dmr_mean,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
20.0,0,ilp,20,0.013594039063840536,0.0,0.014221444411911421,0.4887220125327352,9.918368652941522,0
