latency_budget_ms,peak_memory_budget_bytes,method,selected_count,risk_reduction,risk_reduction_std,residual_failure_probability,mitigation_ratio,used_latency_ms,used_peak_extra_memory_bytes
5.0,0,ilp,3,0.0011065968634693737,0.0,0.026708886612282583,0.03978348477868614,4.892829772123109,0
5.0,0,greedy,3,0.0011065968634693737,0.0,0.026708886612282583,0.03978348477868614,4.892829772123109,0
5.0,0,topk_dmr_compare_rerun,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
5.0,0,topk_range_guard_rerun,2,0.000852953492101459,0.0,0.026962529983650497,0.030664701292897462,4.710468048893288,0
5.0,0,random_dmr_mean,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
10.0,0,ilp,1,0.0018178483185382183,0.0,0.02599763515721374,0.0653538278463835,8.893382618095025,0
10.0,0,greedy,4,0.0015169334530505075,0.0,0.02629855002270145,0.054535577437397,7.272743434753659,0
10.0,0,topk_dmr_compare_rerun,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
10.0,0,topk_range_guard_rerun,1,0.0018178483185382183,0.0,0.02599763515721374,0.0653538278463835,8.893382618095025,0
10.0,0,random_dmr_mean,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
20.0,0,ilp,5,0.00555299982104139,0.0,0.022262483654710567,0.19963700526299305,19.766548241123388,0
20.0,0,greedy,5,0.0055529998210413906,0.0,0.022262483654710567,0.19963700526299308,19.766548241123385,0
20.0,0,topk_dmr_compare_rerun,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
20.0,0,topk_range_guard_rerun,4,0.005426981062160743,0.0,0.022388502413591214,0.1951064797019147,19.74226107612952,0
20.0,0,random_dmr_mean,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
40.0,0,ilp,7,0.008571617755073663,0.0,0.019243865720678294,0.30815994129837576,39.839356345415005,0
40.0,0,greedy,8,0.008468586251572088,0.0,0.01934689722417987,0.3044558351450028,36.92295331650474,0
40.0,0,topk_dmr_compare_rerun,0,0.0,0.0,0.027815483475751957,0.0,0.0,0
